customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C0000000,Male,1,No,Yes,21,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,98.92,1998.69,Yes
C0000001,Male,1,No,Yes,47,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,No,Electronic check,83.66,3894.8,No
C0000002,Male,1,No,No,38,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Electronic check,120.48,4509.34,No
C0000003,Male,0,No,Yes,39,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),119.92,4642.62,No
C0000004,Female,0,No,Yes,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),31.74,892.11,No
C0000005,Male,0,No,No,21,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,17.76,452.11,Yes
C0000006,Female,0,Yes,Yes,51,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),104.91,5501.55,No
C0000007,Male,0,Yes,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),51.37,1801.27,No
C0000008,Female,0,Yes,Yes,27,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,98.05,2605.28,No
C0000009,Female,1,Yes,Yes,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),47.59,1217.33,No
C0000010,Male,1,No,No,18,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,19.29,172.65,Yes
C0000011,Female,0,Yes,Yes,41,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,66.55,2610.93,No
C0000012,Female,1,Yes,Yes,33,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,118.57,3851.24,No
C0000013,Male,1,No,Yes,45,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,Two year,No,Electronic check,73.86,3528.13,No
C0000014,Male,0,No,No,7,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,13.05,-6.1,Yes
C0000015,Female,0,No,Yes,37,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,12.76,580.5,No
C0000016,Male,0,No,Yes,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),55.5,1939.71,No
C0000017,Female,0,Yes,No,26,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,103.1,2565.95,Yes
C0000018,Male,1,No,No,33,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.95,1136.33,No
C0000019,Male,0,No,Yes,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,57.86,945.22,Yes
C0000020,Male,0,No,Yes,40,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),135.11,5442.02,No
C0000021,Female,0,No,Yes,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),47.33,1047.38,Yes
C0000022,Female,0,Yes,Yes,34,No,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),67.51,2341.04,No
C0000023,Male,0,Yes,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),41.56,1004.85,No
C0000024,Female,1,Yes,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),60.46,2778.37,No
C0000025,Male,1,Yes,No,12,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),69.82,744.68,Yes
C0000026,Male,1,No,Yes,41,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,No,Electronic check,90.05,3893.92,Yes
C0000027,Male,1,No,Yes,25,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,Two year,No,Credit card (automatic),76.63,1845.74,Yes
C0000028,Female,1,Yes,No,35,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,79.08,2800.02,No
C0000029,Male,0,No,Yes,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),44.51,1635.25,No
C0000030,Female,1,No,Yes,24,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),7.18,275.98,No
C0000031,Female,0,No,Yes,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),39.51,957.01,No
C0000032,Female,0,No,Yes,37,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),121.08,4365.01,No
C0000033,Male,1,Yes,No,66,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,No,Electronic check,123.86,8293.61,Yes
C0000034,Female,0,Yes,No,32,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),130.51,4319.94,Yes
C0000035,Female,1,Yes,No,35,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),22.35,929.26,No
C0000036,Male,0,No,Yes,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),39.4,1226.7,Yes
C0000037,Male,0,No,Yes,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),50.47,2176.15,No
C0000038,Female,1,No,Yes,31,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,96.74,2968.89,Yes
C0000039,Male,0,No,Yes,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),34.8,1423.15,No
C0000040,Female,0,No,Yes,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),45.44,1652.9,No
C0000041,Male,1,Yes,No,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),41.05,1954.48,No
C0000042,Female,0,No,Yes,24,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),18.01,433.09,No
C0000043,Female,1,Yes,No,35,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,112.43,3933.68,Yes
C0000044,Female,0,Yes,Yes,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),42.53,1122.89,No
C0000045,Female,0,No,Yes,37,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),109.95,3961.34,No
C0000046,Female,0,Yes,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),40.82,1229.15,No
C0000047,Male,1,No,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),34.69,1333.24,No
C0000048,Female,0,Yes,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),49.42,1145.26,No
C0000049,Male,1,No,Yes,43,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),123.04,5424.79,No
C0000050,Female,0,Yes,Yes,31,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,94.98,2958.72,No
C0000051,Female,0,Yes,No,37,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),11.92,519.19,No
C0000052,Female,0,Yes,No,35,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),21.27,827.77,No
C0000053,Male,0,No,Yes,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,45.51,1731.19,Yes
C0000054,Male,0,No,Yes,33,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),77.17,2548.85,Yes
C0000055,Male,1,Yes,No,30,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,119.23,3582.13,No
C0000056,Female,1,Yes,No,50,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,113.73,5775.91,Yes
C0000057,Male,0,Yes,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,46.61,1806.88,No
C0000058,Female,0,No,Yes,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),39.21,1488.16,No
C0000059,Male,0,No,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),47.32,1562.41,No
C0000060,Female,0,Yes,Yes,40,Yes,No,DSL,Yes,Yes,No,No,Yes,No,One year,No,Credit card (automatic),109.46,4407.21,No
C0000061,Male,1,Yes,No,48,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,106.39,5298.81,No
C0000062,Male,0,No,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),45.8,1562.0,No
C0000063,Male,1,Yes,No,33,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Electronic check,111.61,3883.15,Yes
C0000064,Female,1,Yes,No,55,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),101.79,5650.0,No
C0000065,Female,1,Yes,No,36,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,98.96,3517.21,No
C0000066,Female,1,Yes,Yes,30,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,110.44,3427.91,Yes
C0000067,Male,1,No,No,38,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),23.54,870.23,No
C0000068,Male,1,Yes,No,27,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.25,517.87,No
C0000069,Male,0,No,Yes,20,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),88.99,1646.16,Yes
C0000070,Female,0,No,Yes,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),38.54,1082.41,No
C0000071,Male,1,No,Yes,44,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),67.98,3046.49,No
C0000072,Female,1,Yes,No,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,56.2,1459.17,Yes
C0000073,Male,1,No,No,27,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Electronic check,115.0,3299.57,Yes
C0000074,Female,0,No,Yes,13,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,99.86,1217.24,Yes
C0000075,Male,1,No,Yes,28,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,78.38,2341.01,Yes
C0000076,Female,1,No,Yes,34,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,109.51,3854.78,Yes
C0000077,Female,1,Yes,No,30,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,91.41,2693.18,No
C0000078,Male,1,Yes,No,29,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),13.82,539.59,No
C0000079,Male,0,Yes,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),37.87,776.08,Yes
C0000080,Female,0,Yes,No,19,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.67,506.95,No
C0000081,Female,1,No,Yes,32,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),16.76,753.06,No
C0000082,Female,1,No,Yes,35,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,113.52,4083.27,No
C0000083,Female,0,No,Yes,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,47.36,1728.07,No
