Age,Income,Subscription,Country,Device,Churn
40.960569836134795,47468.04819946782,Standard,UK,Mobile,0
33.340828385945784,51664.34144102065,Premium,USA,Mobile,0
42.77226245720831,61804.54348332493,Premium,USA,,1
53.2763582768963,36633.004870977704,Basic,UK,Tablet,1
32.19015950331997,34053.364450258036,Standard,USA,Desktop,0
32.19035651660983,52071.307297004445,Basic,USA,Mobile,0
53.9505537860887,46123.98919689247,Basic,Canada,Mobile,1
44.20921674983491,63900.81496657287,Standard,Germany,Mobile,0
29.366307368780575,171931.19114356727,Standard,USA,Mobile,0
41.51072052303158,58330.69021449828,Basic,UK,Desktop,0
29.438987686250453,48432.779804347,Basic,Germany,,1
29.41124295715692,85333.70387852308,,Canada,Tablet,0
37.90354725879241,37433.7802760936,Basic,USA,Desktop,1
12.040637064106427,59162.14750632163,Standard,USA,Mobile,0
14.300986009843605,30954.65019390339,Standard,UK,Mobile,1
28.252549649108328,33897.98483390822,Basic,UK,Mobile,1
22.846026555986914,40889.81601851818,Basic,Germany,Desktop,1
38.77096799114329,74439.85004927039,Basic,Canada,Tablet,1
24.103711093745467,53958.416456810286,Premium,USA,Mobile,1
18.052355583976503,41142.82897183437,Standard,USA,Mobile,0
52.587785227058646,55616.5448893186,Standard,UK,Mobile,0
32.29068439416157,50527.21822136763,,USA,Mobile,0
35.81033845625509,42620.39946291321,Premium,USA,Mobile,0
17.903021765438517,29050.567163176587,Standard,Canada,Mobile,1
28.467407305697808,71578.13726768435,Standard,USA,Mobile,0
36.33107107651839,53147.27193065063,Standard,USA,Tablet,0
21.188077070932366,82606.07560202359,Standard,Canada,Desktop,1
39.508376220148065,64104.824308113195,Standard,USA,Mobile,1
27.79233572097434,58269.795871415634,Standard,USA,Mobile,0
31.49967500248068,43471.935070745494,Basic,UK,Mobile,0
27.77952065324724,33569.81654214625,Standard,Germany,Mobile,1
57.22733821410725,46734.03523267329,Basic,USA,Mobile,0
34.83803330314479,99406.83326073762,Basic,UK,Desktop,1
22.307468852529198,179258.56713288394,Basic,USA,Desktop,1
