Customer_ID,Age,Annual_Income,Days_Since_Last_Purchase,Total_Spend,Has_Premium_Membership,Email_Subscriber,Used_Coupon,Customer_Satisfaction,Education_Level,Loyalty_Tier,Preferred_Category,Region,Payment_Method
1001,41,1035.0,16.0,161.01,No,Subscribed,No,Satisfied,Bachelor's,Bronze,Clothing,West,PayPal
1002,33,778.5,2.0,129.6,Yes,Subscribed,Yes,Neutral,Bachelor's,Gold,Books,North,Credit Card
1003,43,463.3,13.0,287.13,No,Not Subscribed,No,Neutral,Master's,Silver,Electronics,South,Credit Card
1004,53,303.2,4.0,0.0,No,Subscribed,Yes,Neutral,Bachelor's,Bronze,Electronics,North,PayPal
1005,32,679.6,50.0,187.97,No,Not Subscribed,Yes,Neutral,Bachelor's,Bronze,Clothing,South,Credit Card
1006,32,566.0,89.0,160.36,No,Subscribed,Yes,Satisfied,,Bronze,Sports,North,Credit Card
1007,54,764.9,2.0,0.0,No,Subscribed,Yes,Satisfied,High School,Bronze,Sports,South,Debit Card
1008,44,654.4,93.0,164.43,No,Not Subscribed,No,Satisfied,PhD,Bronze,Books,South,Bank Transfer
1009,29,839.1,22.0,74.15,No,Not Subscribed,Yes,Very Satisfied,High School,Bronze,Clothing,South,Credit Card
1010,42,324.2,11.0,2.64,No,Subscribed,No,Very Dissatisfied,High School,Gold,Electronics,West,PayPal
1011,29,,2.0,0.0,No,Subscribed,No,Satisfied,Master's,Bronze,Home & Garden,Central,Bank Transfer
1012,29,503.3,21.0,0.0,No,Not Subscribed,No,Satisfied,High School,Silver,Sports,South,Debit Card
1013,38,1552.7,47.0,287.13,No,Subscribed,Yes,Very Satisfied,Bachelor's,Silver,Electronics,North,PayPal
1014,18,295.6,37.0,37.06,No,Not Subscribed,No,Very Dissatisfied,,Bronze,Electronics,South,Debit Card
1015,18,1266.7,2.0,100.98,No,Not Subscribed,No,Satisfied,,Silver,Electronics,Central,Credit Card
1016,28,503.4,2.0,0.0,Yes,Subscribed,Yes,Very Satisfied,PhD,Bronze,Home & Garden,East,PayPal
