Bedrooms,SquareFeet_Hundreds,Garage,Price
4,28.2,1,372600.0
5,29.3,1,364300.0
2,11.9,1,188100.0
4,19.0,1,264800.0
4,12.9,0,203000.0
5,31.6,2,397700.0
2,25.6,1,292400.0
2,18.3,2,241100.0
4,11.6,2,218500.0
3,17.8,1,265600.0
4,18.1,0,286700.0
4,28.2,1,340400.0
4,25.9,0,312600.0
4,32.2,2,399300.0
5,21.8,0,347200.0
2,13.0,0,185200.0
5,27.8,0,362200.0
5,29.0,2,404300.0
5,24.0,2,346400.0
4,29.3,0,358100.0
3,22.3,0,282900.0
2,23.1,1,292000.0
3,20.7,0,245000.0
5,10.6,1,225100.0
5,12.7,0,233800.0
3,10.8,1,200300.0
3,25.9,2,343300.0
3,17.9,0,244600.0
5,22.7,0,289500.0
5,32.7,0,395400.0
2,16.2,0,196600.0
2,20.3,1,243600.0
5,28.9,0,349800.0
3,15.7,2,243100.0
3,11.9,2,191200.0
2,17.2,0,234700.0
5,14.0,2,243900.0
2,33.2,0,369500.0
2,30.2,0,304700.0
4,25.8,2,359900.0
4,31.8,0,363900.0
4,30.1,2,349000.0
3,14.7,1,208700.0
5,32.3,0,403400.0
5,23.5,1,331600.0
5,30.2,2,389300.0
5,32.4,1,363000.0
4,18.0,1,286400.0
3,12.8,2,249100.0
3,15.7,1,257900.0
4,20.7,1,278200.0
3,30.5,2,368300.0
4,31.5,1,381500.0
5,10.2,2,207500.0
4,22.8,1,306900.0
5,20.4,2,328500.0
5,15.6,2,284900.0
2,13.0,1,179300.0
4,18.4,1,256600.0
2,33.6,1,372400.0
4,18.1,0,264100.0
4,23.0,0,259900.0
2,27.6,0,263800.0
2,19.1,2,255600.0
4,34.3,1,387500.0
3,34.1,2,387000.0
5,16.3,0,249200.0
2,22.4,1,286200.0
5,17.5,2,290700.0
3,17.1,1,248000.0
3,10.9,2,186200.0
3,25.2,1,258500.0
2,22.6,0,277400.0
3,11.3,0,217400.0
2,17.0,1,222600.0
3,32.7,2,384400.0
5,16.0,0,257800.0
5,13.6,0,259100.0
4,22.2,0,301200.0
5,34.6,1,421600.0
4,16.1,1,251200.0
5,26.8,2,364300.0
2,29.0,2,314700.0
5,15.9,2,270800.0
4,28.2,1,360900.0
4,19.2,1,272100.0
3,25.8,2,326100.0
2,25.8,2,293100.0
5,23.4,1,330800.0
3,12.3,2,195100.0
5,30.9,0,376400.0
5,18.0,1,278300.0
3,14.7,2,210200.0
3,11.0,1,211200.0
3,24.8,0,290700.0
3,26.9,1,350400.0
3,10.4,1,212500.0
5,22.8,1,306200.0
3,15.7,1,220400.0
2,26.1,0,271500.0
4,14.4,1,213100.0
3,27.3,1,318900.0
3,19.7,2,298000.0
5,33.4,1,375600.0
3,13.4,2,239300.0
3,18.5,0,254700.0
3,12.8,0,206000.0
5,33.1,0,400900.0
3,31.9,0,333900.0
4,16.4,2,277000.0
5,26.5,1,340800.0
4,30.4,0,316600.0
5,23.9,1,328900.0
3,23.2,2,292300.0
4,16.0,2,282800.0
5,12.3,2,243300.0
2,32.4,0,340100.0
3,32.5,1,372900.0
5,25.8,1,339600.0
2,18.5,1,238200.0
5,18.7,2,311500.0
2,28.1,0,289200.0
3,32.4,2,367900.0
4,32.2,2,376900.0
2,29.5,1,349500.0
5,26.1,2,346900.0
3,12.1,1,201700.0
2,14.0,0,183300.0
5,32.5,1,392100.0
5,25.2,0,315200.0
5,10.2,1,225800.0
2,12.5,2,188700.0
2,26.6,2,296400.0
2,10.1,0,152600.0
4,14.0,0,210200.0
2,23.7,0,249700.0
2,27.3,1,305500.0
2,26.3,1,277500.0
4,15.6,0,260800.0
2,27.8,2,304000.0
5,15.9,1,254800.0
2,18.1,1,231000.0
5,28.7,1,391600.0
5,26.2,0,309000.0
5,31.2,0,377000.0
4,26.4,0,337100.0
4,24.2,0,299000.0
4,12.3,0,191200.0
2,19.2,2,255900.0
5,16.6,2,304900.0
