Temperature,Sales
79.6,231.06
38.6,166.65
32.7,185.98
65.1,230.57
81.9,213.56
52.3,187.85
108.1,425.64
78.5,254.35
58.1,212.23
49.2,206.11
44.3,192.49
82.9,261.72
53.9,222.27
16.0,109.39
49.8,214.47
83.8,253.54
28.2,168.23
27.5,128.59
63.2,181.25
63.2,242.84
73.4,210.83
94.9,291.56
82.4,241.25
71.1,205.05
82.2,252.13
42.3,226.03
46.2,186.3
32.8,189.43
39.4,170.54
73.1,254.27
19.2,159.2
53.4,180.09
53.1,219.66
59.4,229.51
52.6,204.54
41.2,162.15
52.6,237.04
99.3,350.98
104.4,411.75
60.2,195.13
72.4,214.46
21.6,164.99
41.7,217.57
51.5,203.6
96.6,299.58
35.0,194.42
58.3,237.31
108.6,431.37
61.9,210.27
71.3,195.04
22.1,136.17
92.6,286.06
70.3,212.0
64.5,212.39
44.3,200.27
40.4,226.36
51.7,202.03
78.1,257.61
97.5,330.47
61.0,235.85
76.9,195.59
68.6,203.75
72.5,242.28
77.5,231.03
94.2,327.3
18.3,160.06
86.4,285.2
34.4,200.62
29.4,194.47
67.2,243.6
19.6,176.34
98.5,358.46
72.7,223.51
82.3,238.36
11.6,111.05
69.4,232.09
65.7,162.92
25.9,147.8
25.3,153.33
79.6,235.63
41.9,142.77
79.2,264.66
65.4,223.4
48.9,239.14
102.5,392.31
94.2,328.85
45.7,242.81
14.4,125.49
40.5,164.31
49.8,195.26
80.5,227.11
109.5,435.66
45.6,176.71
86.3,277.14
69.3,227.13
79.2,238.87
25.1,178.37
49.9,197.1
34.1,203.05
44.3,198.38
61.3,201.8
76.7,250.88
20.6,185.08
23.1,193.81
42.2,175.82
76.2,220.28
94.7,277.31
65.3,206.49
95.4,324.9
48.5,196.58
41.7,233.88
45.4,189.5
27.1,154.79
92.9,311.84
43.9,199.7
65.2,222.15
67.9,220.7
62.2,212.75
10.3,74.97
108.8,418.55
100.5,342.51
30.8,176.3
39.2,184.41
62.0,215.99
100.2,363.55
108.4,405.35
35.8,203.72
66.4,224.37
90.7,297.07
49.4,171.36
83.1,261.65
