Time_Months,Users_Thousands
0.0,46.7
0.1,48.2
0.2,54.7
0.3,55.3
0.4,60.3
0.51,62.7
0.61,56.4
0.71,58.1
0.81,54.5
0.91,55.5
1.01,46.5
1.11,52.4
1.21,53.3
1.31,62.3
1.41,59.8
1.52,75.0
1.62,75.9
1.72,70.6
1.82,71.8
1.92,74.4
2.02,67.0
2.12,68.1
2.22,63.0
2.32,68.1
2.42,80.1
2.53,74.0
2.63,71.4
2.73,73.0
2.83,77.2
2.93,86.4
3.03,68.5
3.13,77.8
3.23,88.2
3.33,70.6
3.43,94.8
3.54,77.9
3.64,92.1
3.74,88.3
3.84,92.1
3.94,79.3
4.04,92.8
4.14,89.7
4.24,105.8
4.34,90.7
4.44,97.3
4.55,96.0
4.65,104.3
4.75,114.2
4.85,103.6
4.95,109.7
5.05,95.7
5.15,109.0
5.25,96.6
5.35,101.6
5.45,127.4
5.56,114.1
5.66,109.4
5.76,118.8
5.86,103.6
5.96,143.3
6.06,118.0
6.16,129.2
6.26,124.5
6.36,129.0
6.46,118.4
6.57,129.5
6.67,145.0
6.77,129.2
6.87,138.2
6.97,168.0
7.07,145.6
7.17,133.7
7.27,166.0
7.37,164.0
7.47,166.9
7.58,160.3
7.68,162.1
7.78,182.8
7.88,159.0
7.98,182.2
8.08,173.2
8.18,184.3
8.28,174.4
8.38,171.5
8.48,164.7
8.59,165.6
8.69,204.9
8.79,172.1
8.89,200.1
8.99,187.1
9.09,180.5
9.19,220.2
9.29,233.9
9.39,165.5
9.49,210.4
9.6,224.1
9.7,215.9
9.8,267.9
9.9,271.1
10.0,233.0
