Practice_Hours,Performance_Score
1.1,27.39
1.4,18.12
3.4,60.8
3.5,49.71
3.6,56.08
4.3,62.71
4.6,74.81
5.4,51.67
6.6,80.19
6.6,75.85
8.5,83.49
8.8,75.94
9.4,87.3
9.7,89.62
10.8,76.44
10.9,98.93
10.9,84.61
11.0,89.63
11.3,100.0
11.5,97.83
11.9,98.3
12.0,91.43
12.0,79.8
12.3,100.0
13.8,83.64
14.1,100.0
14.2,92.27
14.4,97.98
14.6,100.0
14.6,97.9
14.8,100.0
14.8,93.15
15.0,92.76
15.8,100.0
17.2,100.0
17.5,98.36
17.5,100.0
18.3,100.0
18.8,100.0
18.9,100.0
19.2,100.0
19.9,100.0
19.9,100.0
20.2,100.0
20.5,100.0
20.6,100.0
21.6,100.0
22.8,100.0
23.1,100.0
23.2,100.0
23.3,100.0
23.6,100.0
23.6,100.0
24.1,100.0
24.4,100.0
25.2,100.0
25.2,100.0
25.7,100.0
26.2,100.0
26.3,100.0
26.7,100.0
26.8,100.0
27.0,100.0
27.3,100.0
27.6,100.0
27.7,100.0
28.6,100.0
28.6,100.0
28.6,100.0
31.0,100.0
31.4,100.0
32.9,100.0
32.9,100.0
33.4,100.0
34.3,100.0
34.4,100.0
35.7,100.0
35.9,100.0
37.0,100.0
37.1,100.0
37.2,100.0
37.3,100.0
37.7,100.0
38.1,100.0
40.0,100.0
41.5,100.0
42.5,100.0
43.1,100.0
43.7,100.0
44.6,100.0
45.7,100.0
46.5,100.0
46.6,100.0
46.7,100.0
47.2,100.0
47.8,100.0
48.9,100.0
49.3,100.0
50.0,100.0
50.0,100.0
