Month,Sales_Units
0.0,18.68
0.24,12.74
0.48,12.29
0.73,0.0
0.97,0.0
1.21,3.82
1.45,1.8
1.7,0.0
1.94,9.81
2.18,3.03
2.42,0.0
2.67,1.07
2.91,10.1
3.15,0.0
3.39,0.0
3.64,8.87
3.88,0.0
4.12,0.0
4.36,0.97
4.61,0.0
4.85,0.0
5.09,0.0
5.33,6.74
5.58,28.26
5.82,0.0
6.06,1.39
6.3,9.23
6.55,14.11
6.79,40.52
7.03,0.0
7.27,41.25
7.52,69.89
7.76,58.42
8.0,51.34
8.24,64.17
8.48,79.29
8.73,58.54
8.97,50.34
9.21,85.75
9.45,92.87
9.7,77.91
9.94,99.76
10.18,88.83
10.42,137.76
10.67,98.02
10.91,124.6
11.15,140.94
11.39,139.81
11.64,146.69
11.88,202.41
12.12,184.7
12.36,142.72
12.61,209.2
12.85,209.68
13.09,202.47
13.33,188.14
13.58,251.51
13.82,273.06
14.06,241.28
14.3,261.0
14.55,284.59
14.79,296.39
15.03,307.61
15.27,319.26
15.52,313.7
15.76,335.11
16.0,337.56
16.24,371.2
16.48,377.64
16.73,401.52
16.97,392.97
17.21,393.48
17.45,412.88
17.7,440.77
17.94,451.77
18.18,502.32
18.42,490.31
18.67,505.71
18.91,525.37
19.15,524.07
19.39,552.43
19.64,582.36
19.88,617.73
20.12,607.06
20.36,617.51
20.61,634.8
20.85,648.9
21.09,687.32
21.33,672.45
21.58,738.93
21.82,706.69
22.06,755.69
22.3,791.25
22.55,792.16
22.79,809.01
23.03,835.04
23.27,836.83
23.52,847.77
23.76,886.72
24.0,904.04
