input,target
16.24,491.87999999999994
-6.12,-406.85
-5.28,-87.60000000000001
-10.73,-334.3
8.65,128.39
-23.02,-757.74
17.45,457.02
-7.61,-147.43
3.19,171.86
-2.49,96.77999999999999
14.62,523.39
-20.6,-733.16
-3.22,-217.51999999999998
-3.84,17.870000000000005
11.34,516.87
-11.0,-333.77
-1.72,24.28
-8.78,-393.89
0.42,-161.79
5.83,77.5
-11.01,-346.02
11.45,311.36
9.02,267.59
5.02,121.5
9.01,358.23
-6.84,-42.44999999999999
-1.23,-13.279999999999998
-9.36,-57.799999999999955
-2.68,-123.84
5.3,126.49000000000001
-6.92,-148.82999999999998
-3.97,-134.58
-6.87,-68.39
-8.45,-297.60999999999996
-6.71,-49.03
-0.13,35.52
-11.17,-58.55000000000001
2.34,43.78999999999999
16.6,497.73
7.42,257.17
-1.92,-255.7
-8.88,-186.17000000000004
-7.47,-156.01999999999998
16.92,538.53
0.51,-119.14
-6.37,-325.76
1.91,135.95999999999998
21.0,767.52
1.2,215.45
6.17,115.55999999999999
3.0,6.920000000000002
-3.52,-112.78999999999999
-11.43,-520.47
-3.49,-143.59
-2.09,42.48000000000001
5.87,359.56
8.39,299.62000000000006
9.31,463.36
2.86,146.89
8.85,304.64
-7.54,-223.33999999999997
12.53,414.59
5.13,148.41
-2.98,-83.49000000000001
4.89,100.50999999999999
-0.76,23.099999999999998
11.32,361.04
15.2,328.03999999999996
21.86,651.7299999999999
-13.96,-484.37
-14.44,-618.02
-5.04,-82.80999999999999
1.6,223.87
8.76,519.77
3.16,271.04
-20.22,-673.68
-3.06,45.72
8.28,380.39
2.3,-109.78
7.62,334.73
-2.22,16.11999999999999
-2.01,-24.019999999999996
1.87,104.96
4.1,148.83
1.98,242.59
1.19,15.519999999999996
-6.71,-201.29000000000002
3.78,134.14
1.22,84.17
11.29,182.38
11.99,518.5
1.85,98.12
-3.75,-35.59
-6.39,-151.97
4.23,128.26
0.77,7.579999999999998
-3.44,-73.59
0.44,48.410000000000004
-6.2,-50.47
6.98,264.01
-4.47,-127.44999999999999
12.25,586.16
4.03,12.960000000000008
5.94,64.18
-10.95,-273.04
1.69,49.459999999999994
7.41,64.84
-9.54,-297.41999999999996
-2.66,-130.87
0.33,143.01
-13.73,-454.03000000000003
3.15,219.56
8.46,319.78000000000003
-8.6,-258.63
3.51,127.42
-13.12,-330.72999999999996
-0.39,-222.5
-16.16,-432.09000000000003
11.21,318.39
4.09,322.49
-0.25,-56.629999999999995
-7.75,-98.24
12.74,150.70999999999998
19.67,691.5600000000001
-18.58,-509.78999999999996
12.36,366.09999999999997
16.28,496.31000000000006
3.38,95.33999999999999
-11.99,-297.4
8.63,265.48
-1.81,-213.07000000000002
-6.04,-179.77999999999997
-12.3,-125.53
5.51,189.98
7.93,286.97999999999996
-6.24,-211.01000000000002
5.21,193.71
-11.44,-305.40999999999997
8.02,234.48000000000002
0.47,120.43
-1.87,-128.41
-1.02,-23.62
8.69,331.21
7.5,218.3
5.29,56.30999999999999
1.38,117.22999999999999
0.78,-54.81999999999999
6.18,160.67
2.32,6.789999999999992
6.83,213.83
-3.1,-115.94
-24.35,-757.96
10.39,399.80000000000007
21.87,852.36
4.41,116.55000000000001
-1.0,42.27
-1.36,-56.34
-1.19,-5.809999999999995
0.17,137.88
-11.22,-311.57000000000005
-5.17,-216.64999999999998
-9.97,-352.09000000000003
2.49,33.03
-2.97,-70.43
4.95,254.3
-1.75,-168.38
9.86,212.06999999999994
2.14,-8.25
21.91,502.35999999999996
-18.96,-416.21000000000004
-6.47,-177.73999999999998
9.01,480.38
25.28,635.97
-2.49,74.71999999999998
0.44,-36.959999999999994
-2.26,-88.53999999999999
13.31,320.4
-2.87,-161.09
6.8,91.63
-3.2,-54.370000000000005
-12.73,-493.32000000000005
3.14,90.02000000000001
5.03,169.98000000000002
12.93,474.55999999999995
-1.1,-2.960000000000001
-6.17,-132.97
5.63,240.34
2.41,90.57000000000001
2.81,140.63
-0.73,-99.87
11.6,290.45
3.69,320.45
19.05,590.33
11.11,282.24999999999994
6.59,355.69
-16.27,-483.78
6.02,135.95
4.2,1.0999999999999943
8.11,341.24999999999994
10.44,224.57
-4.01,-154.2
8.24,331.61
-5.62,-130.24
19.55,597.86
-13.32,-401.0
-17.61,-393.7099999999999
-16.51,-252.27000000000007
-8.91,-302.18
-11.19,-258.81
19.56,799.68
-3.26,30.11
-13.43,-451.58
11.14,311.13000000000005
-5.87,-215.89999999999998
-12.37,-442.43999999999994
8.76,220.41000000000003
6.23,233.09
-4.35,-169.2
14.08,530.02
1.29,71.03
16.17,465.39000000000004
5.03,259.51
15.59,519.6
1.09,79.19
-12.2,-242.0
24.49,812.03
-5.46,-154.69
-1.99,54.06
-7.0,-159.07
-2.03,250.83000000000004
2.43,202.77
2.02,195.92
6.61,347.4
17.92,565.58
-1.2,115.28999999999999
-12.33,-347.56
-11.82,-417.72
-6.66,-236.20000000000002
-16.74,-429.3999999999999
8.25,111.38999999999999
-4.98,-108.56
-3.11,-146.14
-0.02,91.22
-13.97,-473.72
-8.61,-51.069999999999965
6.75,299.28
6.19,78.81000000000002
-4.43,62.98000000000002
18.11,540.5699999999999
-13.06,-444.55
-3.45,-185.88
-2.31,7.480000000000004
-27.93,-667.45
19.38,543.56
3.66,30.040000000000006
-10.45,-407.47
20.51,784.94
5.86,362.87
4.3,114.15
-6.07,-108.33000000000001
1.06,51.51
-15.26,-443.86
7.95,354.9
-3.74,-48.1
1.34,93.15
12.02,351.34
2.85,187.06
2.62,70.4
2.76,107.78999999999999
-7.33,-177.95000000000002
8.36,150.67999999999995
15.43,452.98999999999995
7.59,216.44
8.85,295.62
-8.77,-354.28
-8.68,-359.05999999999995
-14.41,-249.95000000000002
12.32,505.24
-2.54,32.7
14.0,622.48
-7.82,-172.64000000000001
-4.38,-120.51
0.95,96.72
9.21,108.37
0.61,-71.51
2.11,159.16
0.17,28.36
1.77,-54.66000000000001
-11.16,-248.95000000000002
0.81,144.19
-1.87,30.690000000000005
-0.57,-0.12999999999999767
4.92,84.0
-6.81,-173.54
-0.85,37.19
-2.97,-104.96000000000001
4.17,205.39999999999998
7.85,286.94
-9.55,-233.19
5.86,-7.449999999999989
20.66,747.91
-14.71,-248.86
-8.3,-269.25
-8.81,-391.99
-2.79,0.18999999999999773
16.23,460.33000000000004
0.13,-72.80000000000001
-6.95,-66.73
6.22,68.25999999999999
-6.0,-88.26
11.23,232.13000000000005
3.05,257.73
13.89,488.36
-6.61,-204.04000000000002
30.31,944.24
8.25,325.71
6.55,299.49
-0.51,87.48
-7.26,-143.13
-8.68,-288.14
-1.36,45.60999999999999
-7.97,-350.23
2.83,205.31
-8.26,-140.5
6.21,345.71000000000004
9.56,247.92000000000002
-7.06,-173.17999999999998
11.93,463.72999999999996
-2.38,-19.609999999999992
11.55,323.83
4.38,182.13
11.22,363.40000000000003
-9.97,-179.53000000000003
-1.07,-74.95
14.51,489.25
-6.18,-136.10999999999999
-20.37,-515.37
-19.43,-570.1899999999999
-25.06,-719.0699999999999
-21.14,-621.2900000000001
-4.12,-100.19000000000001
12.79,404.53999999999996
-4.42,-145.26999999999998
3.24,399.93
-1.1,-97.39
0.09,-94.64
-1.68,-109.96000000000001
-1.74,-103.21000000000001
4.61,159.44
-11.76,-189.71
10.1,491.84000000000003
9.2,319.73
-1.95,-288.32
8.05,299.94
-7.01,-321.37
-5.37,-191.17
1.56,-48.16999999999999
-1.9,5.560000000000002
-4.49,-177.36
-6.72,-104.39
-5.57,-99.37000000000003
9.39,277.69000000000005
-19.43,-554.84
3.52,217.33999999999997
-2.36,-88.00999999999999
7.28,329.96000000000004
5.15,172.57
-27.83,-787.9599999999999
5.85,275.42
3.24,250.35000000000002
0.22,78.68
-4.69,-114.86000000000001
8.53,347.96999999999997
-4.13,-258.44
18.35,734.4
5.64,56.64999999999998
21.38,751.77
-7.86,-272.22
-17.56,-456.06999999999994
7.15,222.84
8.53,306.26
0.35,-49.58
-15.39,-657.76
-4.48,-73.73
6.18,145.34999999999997
-1.84,-100.06
-1.16,-87.33
-1.75,165.94
-9.34,-318.41999999999996
-5.33,-107.22
-14.27,-524.14
17.68,702.71
-4.75,-178.13
4.78,-96.66
-10.22,-15.410000000000025
7.95,148.69
-18.73,-411.01
9.21,369.61
-0.35,74.72
21.11,630.15
-13.07,-353.18
0.76,165.19
3.67,100.00999999999999
12.33,415.03
-4.23,-14.070000000000007
0.86,54.14
-21.42,-665.1
-8.3,-83.83000000000004
4.52,189.76999999999998
11.04,338.68
-2.82,-142.19
20.56,536.24
17.6,637.38
-0.61,96.63000000000001
-24.14,-921.27
-17.78,-574.95
-7.78,-116.91000000000001
11.16,597.23
3.1,328.03999999999996
-20.94,-514.01
-2.29,88.63000000000001
16.13,451.15999999999997
-3.75,-15.049999999999997
-7.5,-328.72
20.55,580.31
0.53,68.0
-4.79,93.09
3.5,199.8
