Training_Time,Performance
3.23,32.29
2.3,33.9
7.94,34.3
6.24,37.39
9.75,33.74
7.59,36.37
0.11,24.03
0.25,28.37
1.11,25.15
5.38,27.32
0.45,30.12
5.52,40.07
7.28,44.37
2.98,22.69
7.33,33.18
6.41,40.39
2.21,38.65
1.27,24.38
3.27,26.88
4.15,31.4
1.38,24.43
5.91,38.99
3.71,32.18
5.96,42.86
7.87,48.73
8.46,42.48
5.0,36.85
9.11,26.95
4.93,36.84
8.52,39.19
8.21,36.65
2.15,26.6
1.93,26.84
1.35,28.77
8.01,50.99
7.69,36.55
2.13,22.05
7.6,28.56
7.41,35.64
8.63,38.3
4.55,29.35
6.48,38.12
3.29,39.14
5.92,33.8
3.0,33.14
5.72,43.07
2.32,25.71
7.9,28.65
5.56,40.82
3.96,38.25
1.29,23.0
8.89,23.46
7.2,35.56
4.91,35.7
0.27,40.21
7.65,35.79
5.6,30.75
7.72,44.91
1.99,31.06
9.29,34.34
7.84,41.57
5.28,36.86
2.1,21.73
6.84,41.28
9.02,34.62
5.99,31.24
0.24,19.07
3.87,42.83
5.21,36.28
8.84,35.91
1.82,28.15
4.91,44.1
9.71,26.47
5.33,44.11
2.74,30.3
8.26,33.15
1.06,27.74
4.17,37.14
5.95,30.86
3.58,34.16
8.41,41.69
8.63,37.51
9.27,39.78
6.17,30.95
5.12,45.82
4.48,33.64
6.59,39.63
1.91,32.26
9.19,33.26
2.36,38.26
7.71,44.8
5.01,34.93
6.37,34.85
3.15,36.55
6.81,30.18
3.21,32.88
6.58,37.35
0.61,30.32
3.18,31.04
2.99,39.74
7.47,41.03
9.53,32.83
7.64,44.7
5.69,33.69
4.26,35.5
9.46,31.81
7.13,39.02
0.69,11.23
8.73,34.38
2.18,33.52
2.98,28.01
5.45,33.01
9.44,27.3
3.71,40.44
6.65,41.23
5.69,35.21
8.89,25.96
1.09,17.69
8.2,39.12
5.42,32.98
7.1,41.66
0.74,19.0
3.58,29.67
1.93,33.97
5.24,36.3
2.85,40.4
8.4,33.67
3.67,22.89
8.69,38.86
1.27,23.9
6.13,41.06
1.31,21.61
6.44,34.66
9.18,43.89
0.61,24.46
3.17,41.47
4.32,35.77
4.59,32.7
0.44,23.88
5.04,40.46
4.84,36.34
2.93,32.45
1.93,23.5
7.43,45.61
7.01,43.34
6.74,33.53
3.22,26.57
6.95,40.27
2.65,29.25
7.78,40.51
