Months,Revenue
0.0,101.38
0.18,115.58
0.36,104.77
0.55,99.21
0.73,99.14
0.91,105.98
1.09,101.69
1.27,108.86
1.45,117.79
1.64,137.27
1.82,121.56
2.0,121.98
2.18,130.65
2.36,148.22
2.55,117.93
2.73,135.25
2.91,131.9
3.09,139.61
3.27,146.65
3.45,145.91
3.64,141.19
3.82,140.89
4.0,159.46
4.18,173.7
4.36,179.82
4.55,172.28
4.73,182.46
4.91,185.64
5.09,171.11
5.27,194.48
5.45,176.57
5.64,191.3
5.82,168.14
6.0,193.32
6.18,232.79
6.36,209.42
6.55,211.76
6.73,221.69
6.91,235.8
7.09,253.5
7.27,254.21
7.45,242.12
7.64,251.98
7.82,223.51
8.0,253.6
8.18,271.48
8.36,278.62
8.55,247.67
8.73,289.53
8.91,285.89
9.09,300.96
9.27,349.26
9.45,337.46
9.64,278.74
9.82,326.78
10.0,366.32
10.18,365.58
10.36,358.53
10.55,405.39
10.73,357.09
10.91,399.38
11.09,400.74
11.27,359.81
11.45,405.54
11.64,330.04
11.82,455.71
12.0,436.14
12.18,449.34
12.36,458.88
12.55,437.61
12.73,411.97
12.91,461.82
13.09,507.55
13.27,495.65
13.45,538.98
13.64,464.78
13.82,536.32
14.0,531.28
14.18,595.14
14.36,600.43
14.55,559.71
14.73,584.49
14.91,642.41
15.09,577.05
15.27,582.67
15.45,583.96
15.64,655.48
15.82,642.89
16.0,638.28
16.18,664.91
16.36,757.52
16.55,655.43
16.73,787.32
16.91,760.14
17.09,962.35
17.27,786.88
17.45,894.37
17.64,830.58
17.82,726.44
18.0,829.84
