Customer_ID,Tenure_Months,Monthly_Charges,Total_Charges,Data_GB_Per_Month,Support_Tickets_Last_Month,International_Plan,Voicemail_Plan,Paperless_Billing,Service_Tier,Customer_Priority,Payment_Method,Contract_Type,Region,Churn
CUST00001,18,47.09,824.94,10.8,2.0,No,No,Enrolled,Premium,Medium,Bank Transfer,One Year,Southeast,No
CUST00002,24,41.36,855.86,2.3,0.0,No,Yes,Enrolled,,Low,Credit Card,Two Year,Southwest,No
CUST00003,4,68.47,298.99,0.9,4.0,No,No,Enrolled,Basic,,Bank Transfer,One Year,Northeast,Yes
CUST00004,1,50.92,0.0,12.0,1.0,No,No,Not Enrolled,Basic,Low,Electronic Check,Two Year,Midwest,No
CUST00005,5,72.56,249.32,46.5,0.0,No,Yes,Enrolled,Premium,Low,Mailed Check,Month-to-Month,Midwest,Yes
CUST00006,2,86.59,,,,No,,,,Medium,,Month-to-Month,West,Yes
CUST00007,26,101.9,2518.57,,,No,No,Enrolled,,Medium,,One Year,,No
CUST00008,23,62.08,1405.5,7.4,1.0,Yes,No,Enrolled,Standard,Low,Bank Transfer,Two Year,West,No
CUST00009,13,56.85,868.0,1.9,0.0,No,,Enrolled,,Low,Credit Card,Two Year,Midwest,No
CUST00010,12,79.32,1053.92,0.9,2.0,No,No,Not Enrolled,Enterprise,Low,Bank Transfer,One Year,West,No
CUST00011,1,48.4,108.45,3.1,2.0,No,Yes,Not Enrolled,,High,Credit Card,One Year,West,No
CUST00012,28,72.62,2010.66,10.3,2.0,No,No,Not Enrolled,Premium,Low,Bank Transfer,Month-to-Month,Midwest,No
CUST00013,18,67.44,1283.06,,,No,No,Enrolled,Standard,,Credit Card,Month-to-Month,Northeast,Yes
CUST00014,65,86.85,5337.47,3.0,2.0,Yes,Yes,Not Enrolled,Premium,,Bank Transfer,Two Year,Southwest,No
CUST00015,22,93.52,2251.25,3.6,0.0,No,Yes,Enrolled,Standard,Low,Electronic Check,One Year,Southwest,Yes
CUST00016,19,52.29,970.4,13.9,0.0,Yes,No,Not Enrolled,Standard,Low,Mailed Check,Two Year,West,No
CUST00017,12,57.56,772.8,39.5,2.0,No,Yes,Enrolled,Basic,,Credit Card,Month-to-Month,West,No
CUST00018,5,63.98,,,,Yes,No,,,Medium,,One Year,,No
CUST00019,22,119.54,2702.66,1.6,0.0,No,No,Not Enrolled,Premium,,Electronic Check,Month-to-Month,Southwest,Yes
CUST00020,27,53.18,1534.02,,1.0,No,Yes,Not Enrolled,,,Mailed Check,One Year,Midwest,Yes
CUST00021,6,91.75,427.93,16.4,3.0,No,Yes,Enrolled,Standard,,Bank Transfer,Month-to-Month,Southeast,No
CUST00022,2,82.66,190.22,4.4,2.0,No,Yes,Enrolled,Standard,Low,Credit Card,One Year,Southeast,Yes
CUST00023,65,106.32,6421.92,2.1,0.0,Yes,No,Not Enrolled,Premium,,Mailed Check,Month-to-Month,Midwest,No
CUST00024,6,109.75,516.37,7.1,0.0,No,No,Enrolled,Premium,,Credit Card,Month-to-Month,West,No
CUST00025,7,76.87,605.27,8.0,1.0,No,No,Enrolled,Basic,Low,Electronic Check,One Year,Southwest,No
CUST00026,29,67.86,1863.51,33.3,2.0,No,No,Enrolled,Premium,Low,Credit Card,Month-to-Month,Northeast,Yes
CUST00027,32,113.65,3706.83,50.0,2.0,No,No,Not Enrolled,Enterprise,Low,Bank Transfer,One Year,Southeast,No
CUST00028,16,43.13,790.97,11.0,3.0,Yes,Yes,Not Enrolled,Basic,Low,Credit Card,Month-to-Month,West,Yes
CUST00029,10,96.26,972.3,7.7,1.0,No,No,Enrolled,Standard,Low,Electronic Check,Month-to-Month,Northeast,No
CUST00030,10,66.05,515.9,1.4,2.0,Yes,No,Enrolled,Basic,,Credit Card,Month-to-Month,Midwest,Yes
CUST00031,7,92.88,626.99,4.7,2.0,No,No,Not Enrolled,Premium,,Bank Transfer,Month-to-Month,Southwest,Yes
CUST00032,27,64.45,1531.53,5.7,0.0,Yes,No,Not Enrolled,Standard,Medium,Credit Card,Two Year,Southeast,Yes
CUST00033,5,50.96,230.83,4.9,1.0,No,Yes,Not Enrolled,Premium,Low,Mailed Check,Two Year,Southeast,Yes
CUST00034,12,123.14,1284.22,15.8,0.0,No,No,Not Enrolled,Premium,Low,Electronic Check,Month-to-Month,West,No
CUST00035,43,52.17,2105.54,1.3,1.0,No,No,Not Enrolled,Enterprise,High,Bank Transfer,Two Year,Southeast,No
CUST00036,7,116.86,812.19,18.9,0.0,No,No,Enrolled,Standard,Low,Bank Transfer,Month-to-Month,West,No
CUST00037,31,66.68,1974.26,9.7,0.0,No,Yes,Enrolled,Basic,Low,Electronic Check,One Year,Southeast,Yes
CUST00038,28,91.04,2584.48,4.7,1.0,No,Yes,Not Enrolled,,,Electronic Check,Two Year,Midwest,No
CUST00039,11,96.02,,,6.0,No,No,,Premium,,,Month-to-Month,,Yes
CUST00040,5,66.71,422.78,8.1,0.0,No,No,Enrolled,Standard,Low,Bank Transfer,Month-to-Month,West,Yes
CUST00041,11,81.16,843.03,12.3,3.0,No,Yes,Enrolled,Premium,,Credit Card,Two Year,Southwest,No
CUST00042,1,51.4,,10.8,1.0,No,No,Enrolled,Basic,,Electronic Check,One Year,Midwest,No
CUST00043,18,93.25,1433.98,8.7,1.0,No,No,Enrolled,Standard,Low,Electronic Check,Two Year,Southeast,No
CUST00044,36,75.83,2862.47,2.7,1.0,Yes,No,Enrolled,Standard,Low,Mailed Check,One Year,Northeast,No
CUST00045,45,48.64,2333.65,5.4,2.0,No,Yes,Enrolled,Standard,Medium,Electronic Check,Month-to-Month,Northeast,No
CUST00046,4,65.06,223.24,7.0,1.0,No,No,Enrolled,Premium,Low,Credit Card,Two Year,Midwest,No
CUST00047,14,98.51,1204.27,4.9,1.0,No,Yes,Not Enrolled,Premium,Low,Electronic Check,Month-to-Month,Northeast,No
CUST00048,45,20.0,808.78,3.5,0.0,No,No,Not Enrolled,Basic,,Credit Card,One Year,West,No
CUST00049,6,93.22,524.9,,0.0,No,Yes,Enrolled,Standard,Medium,Mailed Check,Month-to-Month,Southeast,Yes
CUST00050,40,38.08,1701.12,5.1,1.0,No,Yes,Enrolled,,Medium,Credit Card,Month-to-Month,Southwest,No
CUST00051,1,80.02,0.0,20.7,0.0,Yes,No,Enrolled,Standard,Low,Credit Card,Month-to-Month,Midwest,Yes
CUST00052,16,62.19,1073.39,,2.0,No,No,Enrolled,Standard,Medium,Bank Transfer,One Year,Southwest,No
CUST00053,15,88.19,1370.42,1.6,1.0,No,Yes,Enrolled,Premium,Low,Credit Card,Month-to-Month,Northeast,No
CUST00054,51,66.47,3545.36,3.4,1.0,No,No,Not Enrolled,Standard,Medium,Electronic Check,One Year,Southwest,Yes
CUST00055,6,81.18,,5.3,,No,Yes,Not Enrolled,,,,Two Year,,Yes
CUST00056,1,73.1,110.17,50.0,2.0,Yes,Yes,Enrolled,Premium,Medium,Credit Card,Month-to-Month,Northeast,No
CUST00057,46,35.59,,10.9,,No,,,,High,Mailed Check,Month-to-Month,,No
CUST00058,41,54.14,2386.41,10.4,,No,No,Enrolled,,,Mailed Check,Month-to-Month,Midwest,No
CUST00059,4,82.9,416.07,0.2,5.0,No,No,Enrolled,Basic,Low,Bank Transfer,Month-to-Month,West,Yes
CUST00060,72,42.64,3068.99,2.0,0.0,Yes,No,Not Enrolled,Premium,,Bank Transfer,One Year,Midwest,No
CUST00061,9,30.48,254.7,,4.0,No,Yes,Not Enrolled,Basic,Low,Credit Card,Month-to-Month,Midwest,Yes
CUST00062,8,104.9,807.89,13.7,3.0,No,No,Not Enrolled,Enterprise,High,Electronic Check,Two Year,Southeast,No
CUST00063,38,87.9,3117.46,,3.0,No,No,Not Enrolled,Premium,VIP,Mailed Check,Month-to-Month,Northeast,Yes
CUST00064,42,75.19,2940.86,5.8,,No,No,Enrolled,Premium,Medium,Mailed Check,Month-to-Month,Southwest,No
CUST00065,23,93.32,2289.01,4.8,0.0,Yes,,Not Enrolled,Premium,Low,Bank Transfer,Month-to-Month,West,Yes
CUST00066,1,74.08,,25.9,,No,No,Enrolled,Standard,Low,Mailed Check,Month-to-Month,Northeast,No
CUST00067,16,57.29,956.23,6.4,5.0,No,No,Enrolled,Standard,Medium,Credit Card,Month-to-Month,West,Yes
CUST00068,24,37.83,818.99,6.8,1.0,Yes,No,Enrolled,Basic,Medium,Mailed Check,One Year,Southwest,No
CUST00069,35,58.44,1875.75,6.0,1.0,No,No,Enrolled,Basic,Medium,Credit Card,Two Year,Southeast,No
CUST00070,7,60.7,451.82,20.4,1.0,Yes,No,Enrolled,Enterprise,Low,Credit Card,Month-to-Month,West,Yes
CUST00071,14,61.4,937.57,1.0,0.0,Yes,No,Enrolled,Basic,,Electronic Check,Two Year,Southwest,No
CUST00072,38,94.05,3690.51,50.0,0.0,No,No,Not Enrolled,Standard,,Credit Card,Month-to-Month,West,No
CUST00073,7,73.68,,,0.0,No,,,,,,Month-to-Month,,No
CUST00074,23,73.44,1827.99,50.0,2.0,No,Yes,Enrolled,Premium,,Bank Transfer,One Year,Midwest,No
CUST00075,11,82.14,832.48,26.8,3.0,Yes,Yes,Enrolled,Premium,,Mailed Check,Month-to-Month,Midwest,No
CUST00076,23,86.04,2145.03,4.1,1.0,Yes,No,Not Enrolled,Premium,,Credit Card,One Year,Midwest,No
CUST00077,5,91.16,439.9,3.6,0.0,No,Yes,Not Enrolled,Standard,Low,Credit Card,One Year,Northeast,Yes
CUST00078,16,74.09,1136.78,11.7,1.0,No,No,Enrolled,Premium,Low,Credit Card,One Year,Northeast,No
CUST00079,38,77.7,3064.79,4.7,1.0,No,No,Not Enrolled,Premium,Low,Credit Card,Two Year,Midwest,No
CUST00080,27,101.74,2567.94,37.6,,No,,,,,Credit Card,Month-to-Month,,No
CUST00081,14,68.06,1030.73,36.3,0.0,Yes,Yes,Enrolled,Standard,Low,Electronic Check,One Year,Northeast,No
CUST00082,10,86.15,892.48,2.3,2.0,No,Yes,Enrolled,Premium,Low,Mailed Check,Month-to-Month,Southwest,Yes
CUST00083,31,57.27,1902.54,1.3,2.0,No,No,Not Enrolled,Standard,Medium,Bank Transfer,One Year,Northeast,No
CUST00084,4,100.95,410.78,6.9,5.0,Yes,Yes,Not Enrolled,,,Credit Card,Month-to-Month,Southeast,Yes
CUST00085,18,54.8,1021.04,2.5,1.0,No,No,Not Enrolled,Standard,Low,Mailed Check,One Year,West,No
CUST00086,11,114.61,1331.27,15.4,2.0,No,No,Enrolled,Premium,High,Bank Transfer,One Year,Northeast,No
CUST00087,1,54.43,85.46,1.9,1.0,No,Yes,Enrolled,Enterprise,Low,Electronic Check,Month-to-Month,West,No
CUST00088,7,44.71,363.33,23.6,0.0,No,No,Enrolled,Standard,Low,Credit Card,Month-to-Month,Midwest,No
CUST00089,26,103.94,2771.23,9.2,5.0,No,No,Not Enrolled,Enterprise,,Bank Transfer,Month-to-Month,West,Yes
